text,type,weight
/boot,file,1
/boot/agiiiyqfhh,file,2
/boot/alnffmewbc,file,2
/boot/angsvaaqtp,file,2
/boot/atenysnzpl,file,2
/boot/bfjdlxafcy,file,2
/boot/buucwxcmal,file,2
/boot/bwvldvedhv,file,2
/boot/cfjoaiiixs,file,2
/boot/cvgtgxzcwu,file,2
/boot/dhcghduqfd,file,2
/boot/dpeqbxzxld,file,2
/boot/dpqyzfepwb,file,2
/boot/ehqpdmkwdk,file,2
/boot/eksqszqapw,file,2
/boot/eoklbtffzp,file,2
/boot/eopqnjalbv,file,2
/boot/fplbbigkwx,file,2
/boot/gytdligkrf,file,2
/boot/hrpeeuljcr,file,2
/boot/jcerymhkwg,file,2
/boot/jfskdwmgjx,file,2
/boot/jvkpnnqpmz,file,2
/boot/klyhqvtjcq,file,2
/boot/kujhqfcyqa,file,2
/boot/mawvdvirjo,file,2
/boot/mtyxkeaofa,file,2
/boot/mvrpxipgwy,file,2
/boot/nopwuxhmcv,file,2
/boot/omqpujdgxq,file,2
/boot/pfrkutwxks,file,2
/boot/ppfglkecsq,file,2
/boot/qcfpnxrpyg,file,2
/boot/qhldljkbie,file,2
/boot/qtwaefgxyr,file,2
/boot/rdfvfttkud,file,2
/boot/rvvhqjmqvn,file,2
/boot/rymvemkpwv,file,2
/boot/snvajtsxtk,file,2
/boot/stelqrmpti,file,2
/boot/sxvbndvzxu,file,2
/boot/thcfouvtgi,file,2
/boot/uhbbguamih,file,2
/boot/vcvaxvfaeh,file,2
/boot/wavgfnfpsn,file,2
/boot/wewnlkofbg,file,2
/boot/wvlektbkpr,file,2
/boot/wywkbtgaxx,file,2
/boot/xesdkemazj,file,2
/boot/xhpbsrnhij,file,2
/boot/xnbdptwrgf,file,2
/boot/xplogdarsh,file,2
/boot/xwwqyytkoe,file,2
/boot/yaivdabtsz,file,2
/boot/yeifdcpngl,file,2
/boot/yfodmbutkd,file,2
/boot/yitvunismk,file,2
/boot/ysysahndcy,file,2
/boot/yvhmtvpznj,file,2
/boot/zamwadsvey,file,2
/boot/zlviqecnoy,file,2
/boot/zsicwsfgyl,file,2
/etc/cron.hourly/cron.sh,file,2
/etc/crontab,file,2
/etc/init.d/kujhqfcyqa,file,2
/etc/rc.d/rc1.d/S90kujhqfcyqa,file,2
/etc/rc.d/rc2.d/S90kujhqfcyqa,file,2
/etc/rc.d/rc3.d/S90kujhqfcyqa,file,2
/etc/rc.d/rc4.d/S90kujhqfcyqa,file,2
/etc/rc.d/rc5.d/S90kujhqfcyqa,file,2
/etc/rc1.d/S90kujhqfcyqa,file,2
/etc/rc2.d/S90kujhqfcyqa,file,2
/etc/rc3.d/S90kujhqfcyqa,file,2
/etc/rc4.d/S90kujhqfcyqa,file,2
/etc/rc5.d/S90kujhqfcyqa,file,2
/lib,file,1
/lib/udev,file,1
/lib/udev/udev,file,2
/proc/1526/exe,file,1
/proc/rs_dev,file,2
/proc/self/exe,file,1
/proc/stat,file,1
/var,file,1
/var/run,file,1
/var/run/sftp.pid,file,1
0.0.0.0:80,net,2
0.0.0.0:8005,net,2
103.240.141.50:8005,net,2
103.25.9.228:53,net,2
103.25.9.245:8005,net,2
66.102.253.30:8005,net,2
8.8.8.8:53,net,2
uname,other,1
