Family,DocId,Γobj_N,Γobj,Γrsc_N,Γrsc,Φop_N,Φop,Φsys_N,Φsys,,,opSysN,opSysD,結果,,,
dofloo,"D1,1",0,,0,,0,,0,0,,,0,9,,,,
dofloo,"D1,2",8,0.1159,2,0.2,7,0.0189,3,0.3333,,,3,9,,,,
dofloo,"D1,3",9,0.1304,2,0.2,64,0.1725,3,0.3333,,,3,9,,,,
dofloo,"D1,4",10,0.1449,6,0.6,10,0.027,0,0,,,0,9,,,,
dofloo,"D1,5",12,0.1739,5,0.5,18,0.0485,3,0.3333,,,3,9,,,,
xorddos,"D2,1",0,,0,,0,,0,0,,,0,77,,,,
xorddos,"D2,2",0,,0,,0,,0,0,,,0,77,,,,
xorddos,"D2,3",23,0.0282,11,0.7857,901,0.1206,0,0,,,0,77,,,,
xorddos,"D2,4",29,0.0356,13,0.9286,963,0.1289,64,0.8312,,,64,77,,,,
xorddos,"D2,5",20,0.0245,11,0.7857,5,0.0007,0,0,,,0,77,,,,
xorddos,"D2,6",18,0.0221,0,,4,0.0005,0,0,,,0,77,,,,
Darlloz,"D3,6",0,,0,,0,,0,0,,,0,1,,,,
Darlloz,"D3,1",0,,0,,0,,0,0,,,0,1,,,,
Darlloz,"D3,2",31,0.0975,0,,0,,0,0,,,0,1,,,,
Darlloz,"D3,3",64,0.2013,0,,0,,0,0,,,0,1,,,,
Darlloz,"D3,4",73,0.2296,0,,69,0.1158,0,0,,,0,1,,,,
Darlloz,"D3,5",74,0.2327,0,,73,0.1225,0,0,,,0,1,,,,
lupper,"D8,1",0,,0,,0,,0,0,,,0,2,,,,
lupper,"D8,2",0,,0,,0,,0,0,,,0,2,,,,
lupper,"D8,3",0,,0,,0,,0,0,,,0,2,,,,
lupper,"D8,4",1,0,0,,0,,0,0,,,0,2,,,,
Gafgyt,"D4,1",2,0.0556,0,,0,,0,0,,,0,0,,,,
Gafgyt,"D4,2",8,0.2222,0,,0,,0,0,,,0,0,,,,
Gafgyt,"D4,4",12,0.3333,0,,12,0.1519,0,0,,,0,0,,,,
Gafgyt,"D4,3",9,0.25,0,,13,0.1646,0,0,,,0,0,,,,
Gafgyt,"D4,5",0,,0,,0,,0,0,,,0,0,,,,
Gafgyt,"D4,6",3,0.0833,0,,0,,0,0,,,0,0,,,,
Gafgyt,"D4,7",3,0.0833,0,,0,,0,0,,,0,0,,,,
Gafgyt,"D4,8",0,,0,,0,,0,0,,,0,0,,,,
Luabot,"D5,1",0,,0,,0,,0,0,,,0,1,,,,
Luabot,"D5,2",11,0.0381,0,,8,0.0229,0,0,,,0,1,,,,
Luabot,"D5,3",0,,0,,0,,0,0,,,0,1,,,,
Luabot,"D5,4",0,,0,,0,,0,0,,,0,1,,,,
Luabot,"D5,5",0,,0,,0,,0,0,,,0,1,,,,
Luabot,"D5,6",8,0.0277,0,,4,0.0115,0,0,,,0,1,,,,
Luabot,"D5,7",13,0.045,0,,1,0.0029,0,0,,,0,1,,,,
Luabot,"D5,8",4,0.0138,0,,0,,0,0,,,0,1,,,,
Kaiten,"D6,1",0,,0,,0,,0,0,,,0,0,,,,
Kaiten,"D6,2",2,0.1176,0,,6,0.1579,0,0,,,0,0,,,,
Kaiten,"D6,3",3,0.1765,0,,0,,0,0,,,0,0,,,,
Kaiten,"D6,4",1,0.0588,0,,0,,0,0,,,0,0,,,,
Kaiten,"D6,5",2,0.1176,2,0.3333,2,0.0526,0,0,,,0,0,,,,
Turla,"D7,1",1,0.0769,0,,0,,0,0,,,0,0,,,,
Turla,"D7,2",4,0.3077,0,,1,0.05,0,0,,,0,0,,,,
Turla,"D7,3",3,0.2308,0,,1,0.05,0,0,,,0,0,,,,
Turla,"D7,4",0,,0,,0,,0,0,,,0,0,,,,
BPFDoor,"D9,1",3,0.1111,0,,0,,0,0,,,0,0,,,,
BPFDoor,"D9,2",5,0.1852,0,,7,0.0946,0,0,,,0,0,,,,
BPFDoor,"D9,3",1,0.037,0,,1,0.0135,0,0,,,0,0,,,,
BPFDoor,"D9,4",3,0.1111,0,,16,0.2162,0,0,,,0,0,,,,
BPFDoor,"D9,5",1,0.037,0,,23,0.3108,0,0,,,0,0,,,,
BPFDoor,"D9,6",1,0.037,0,,1,0.0135,0,0,,,0,0,,,,
BPFDoor,"D9,7",7,0.2593,0,,4,0.0541,0,0,,,0,0,,,,
BPFDoor,"D9,8",7,0.2593,0,,9,0.1216,0,0,,,0,0,,,,
Conti,"D10,1",0,,0,,0,,0,0,,,0,0,,,,
Conti,"D10,2",1,0.1667,0,,0,,0,0,,,0,0,,,,
Conti,"D10,3",0,,0,,0,,0,0,,,0,0,,,,
ChinaZ,"D11,1",0,,0,,0,,0,0,,,0,3,,,,
ChinaZ,"D11,2",17,0.0572,0,,27,0.0453,2,0.6667,,,2,3,,,,
Defray777,"D12,1",2,0.1111,0,,1,0.025,1,1.0000,,,1,1,,,,
Defray777,"D12,2",2,0.1111,0,,1,0.025,1,1.0000,,,1,1,,,,
Defray777,"D12,3",0,,0,,0,,0,0,,,0,1,,,,
Demonbot,"D13,1",72,0.1328,4,0.1905,2,0.0014,0,0,,,0,15,,,,
Demonbot,"D13,2",7,0.0129,0,,0,,0,0,,,0,15,,,,
EvilGnome,"D14,1",26,0.0005,0,,4,0.0001,2,0.5000,,,2,4,,,,
FontOnLake,"D15,1",3,0.1364,0,,0,,0,0,,,0,1,,,,
FontOnLake,"D15,2",9,0.4091,0,,20,0.274,1,1.0000,,,1,1,,,,
HCRootkit,"D16,1",9,0.4091,0,,4,0.0548,1,1.0000,,,1,1,,,,
KEYPLUG,"D17,1",0,,0,,0,,0,0,,,0,0,,,,
KEYPLUG,"D17,2",1,0.1,0,,0,,0,0,,,0,0,,,,
KEYPLUG,"D17,3",1,0.1,0,,0,,0,0,,,0,0,,,,
Lightning,"D18,1",23,1,0,,36,0.1304,0,0,,,0,0.130434783,,,,
Melofee,"D19,1",81,0.0943,0,,22,0.0198,0,0,,,0,47,,,,
Melofee,"D19,2",0,,0,,0,,0,0,,,0,47,,,,
XMRigMiner,"D20,1",15,0.0595,0,,0,,0,0,,,0,0,,,,
XMRigMiner,"D20,2",2,0.0079,0,,2,0.004,0,0,,,0,0,,,,
XMRigMiner,"D20,3",40,0.1587,0,,13,0.0263,0,0,,,0,0,,,,
XMRigMiner,"D20,4",1,0.004,0,,1,0.002,0,0,,,0,0,,,,
,,,,,,,,這欄位有問題,0,,,0,0,,,,
